,FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
0,Avengers: Age of Ultron (2015),7.8,3.9,4.0,271107
1,Cinderella (2015),7.1,3.55,3.5,65709
2,Ant-Man (2015),7.8,3.9,4.0,103660
3,Do You Believe? (2015),5.4,2.7,2.5,3136
4,Hot Tub Time Machine 2 (2015),5.1,2.55,2.5,19560
5,The Water Diviner (2015),7.2,3.6,3.5,39373
6,Irrational Man (2015),6.9,3.45,3.5,2680
7,Top Five (2014),6.5,3.25,3.5,16876
8,Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
9,Love & Mercy (2015),7.8,3.9,4.0,5367
10,Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
11,Black Sea (2015),6.4,3.2,3.0,16547
12,Leviathan (2014),7.7,3.85,4.0,22521
13,Unbroken (2014),7.2,3.6,3.5,77518
14,The Imitation Game (2014),8.1,4.05,4.0,334164
15,Taken 3 (2015),6.1,3.05,3.0,104235
16,Ted 2 (2015),6.6,3.3,3.5,49102
17,Southpaw (2015),7.8,3.9,4.0,23561
18,Night at the Museum: Secret of the Tomb (2014),6.3,3.15,3.0,50291
19,Pixels (2015),5.6,2.8,3.0,19521
20,"McFarland, USA (2015)",7.5,3.75,4.0,13769
21,Insidious: Chapter 3 (2015),6.3,3.15,3.0,25134
22,The Man From U.N.C.L.E. (2015),7.6,3.8,4.0,22104
23,Run All Night (2015),6.6,3.3,3.5,50438
24,Trainwreck (2015),6.7,3.35,3.5,27380
25,Selma (2014),7.5,3.75,4.0,45344
26,Ex Machina (2015),7.7,3.85,4.0,154499
27,Still Alice (2015),7.5,3.75,4.0,57123
28,Wild Tales (2014),8.2,4.1,4.0,50285
29,The End of the Tour (2015),7.9,3.95,4.0,1320
30,Red Army (2015),7.7,3.85,4.0,2275
31,When Marnie Was There (2015),7.8,3.9,4.0,4160
32,The Hunting Ground (2015),7.5,3.75,4.0,1196
33,The Boy Next Door (2015),4.6,2.3,2.5,19658
34,Aloha (2015),5.5,2.75,3.0,12255
35,The Loft (2015),6.3,3.15,3.0,21319
36,5 Flights Up (2015),6.1,3.05,3.0,2174
37,Welcome to Me (2015),5.9,2.95,3.0,8301
38,Saint Laurent (2015),6.3,3.15,3.0,2196
39,Maps to the Stars (2015),6.3,3.15,3.0,22440
40,I'll See You In My Dreams (2015),6.9,3.45,3.5,1151
41,Timbuktu (2015),7.2,3.6,3.5,6246
42,About Elly (2015),8.2,4.1,4.0,20659
43,The Diary of a Teenage Girl (2015),7.0,3.5,3.5,1107
44,Kingsman: The Secret Service (2015),7.8,3.9,4.0,272204
45,Tomorrowland (2015),6.6,3.3,3.5,42937
46,The Divergent Series: Insurgent (2015),6.4,3.2,3.0,89618
47,Annie (2014),5.2,2.6,2.5,19222
48,Fantastic Four (2015),4.0,2.0,2.0,39838
49,Terminator Genisys (2015),6.9,3.45,3.5,85585
50,Pitch Perfect 2 (2015),6.7,3.35,3.5,56333
51,Entourage (2015),7.1,3.55,3.5,21914
52,The Age of Adaline (2015),7.3,3.65,3.5,45510
53,Hot Pursuit (2015),4.9,2.45,2.5,17061
54,The DUFF (2015),6.6,3.3,3.5,33594
55,Black or White (2015),6.6,3.3,3.5,4857
56,Project Almanac (2015),6.4,3.2,3.0,40057
57,Ricki and the Flash (2015),6.2,3.1,3.0,1769
58,Seventh Son (2015),5.5,2.75,3.0,41177
59,Mortdecai (2015),5.5,2.75,3.0,31878
60,Unfinished Business (2015),5.4,2.7,2.5,14346
61,American Ultra (2015),6.5,3.25,3.5,3017
62,True Story (2015),6.3,3.15,3.0,16069
63,Child 44 (2015),6.4,3.2,3.0,19220
64,Dark Places (2015),6.3,3.15,3.0,9856
65,Birdman (2014),7.9,3.95,4.0,303505
66,The Gift (2015),7.6,3.8,4.0,10891
67,Unfriended (2015),5.9,2.95,3.0,22348
68,Monkey Kingdom (2015),7.3,3.65,3.5,883
69,Mr. Turner (2014),6.9,3.45,3.5,13296
70,Seymour: An Introduction (2015),7.7,3.85,4.0,243
71,The Wrecking Crew (2015),7.8,3.9,4.0,732
72,American Sniper (2015),7.4,3.7,3.5,251856
73,Furious 7 (2015),7.4,3.7,3.5,207211
74,The Hobbit: The Battle of the Five Armies (2014),7.5,3.75,4.0,289464
75,San Andreas (2015),6.5,3.25,3.5,45723
76,Straight Outta Compton (2015),8.4,4.2,4.0,15982
77,Vacation (2015),6.3,3.15,3.0,8179
78,Chappie (2015),7.0,3.5,3.5,125088
79,Poltergeist (2015),5.0,2.5,2.5,21372
80,Paper Towns (2015),6.9,3.45,3.5,14156
81,Big Eyes (2014),7.0,3.5,3.5,39152
82,Blackhat (2015),5.4,2.7,2.5,27328
83,Self/less (2015),6.6,3.3,3.5,5626
84,Sinister 2 (2015),5.5,2.75,3.0,3200
85,Little Boy (2015),7.4,3.7,3.5,5927
86,Me and Earl and The Dying Girl (2015),8.2,4.1,4.0,5269
87,Maggie (2015),5.6,2.8,3.0,18986
88,Mad Max: Fury Road (2015),8.3,4.15,4.0,292023
